symbol,exchange,quoteType,is_primary,is_etf,is_adr,is_otc,security_type
AEG,NYSE,EQUITY,1,0,0,0,Common Stock
AEHL,NASDAQ,EQUITY,1,0,0,0,Common Stock
AEHR,NASDAQ,EQUITY,1,0,0,0,Common Stock
AEI,NASDAQ,EQUITY,1,0,0,0,Common Stock
AEIS,NASDAQ,EQUITY,1,0,0,0,Common Stock
AEM,NYSE,EQUITY,1,0,0,0,Common Stock
AEMD,NASDAQ,EQUITY,1,0,0,0,Common Stock
AENT,NASDAQ,EQUITY,1,0,0,0,Common Stock
AEO,NYSE,EQUITY,1,0,0,0,Common Stock
AEP,NASDAQ,EQUITY,1,0,0,0,Common Stock
AER,NYSE,EQUITY,1,0,0,0,Common Stock
AERO,NYSE,EQUITY,1,0,0,0,Common Stock
AERT,NASDAQ,EQUITY,1,0,0,0,Common Stock
AES,NYSE,EQUITY,1,0,0,0,Common Stock
AESI,NYSE,EQUITY,1,0,0,0,Common Stock
AEVA,NASDAQ,EQUITY,1,0,0,0,Common Stock
AEXA,NYSE,EQUITY,1,0,0,0,Common Stock
AEYE,NASDAQ,EQUITY,1,0,0,0,Common Stock
AFBI,NASDAQ,EQUITY,1,0,0,0,Common Stock
AFCG,NASDAQ,EQUITY,1,0,0,0,Common Stock
AFG,NYSE,EQUITY,1,0,0,0,Common Stock
AFJK,NASDAQ,EQUITY,1,0,0,0,Common Stock
AFL,NYSE,EQUITY,1,0,0,0,Common Stock
AFRI,NASDAQ,EQUITY,1,0,0,0,Common Stock
AFRM,NASDAQ,EQUITY,1,0,0,0,Common Stock
AFYA,NASDAQ,EQUITY,1,0,0,0,Common Stock
AG,NYSE,EQUITY,1,0,0,0,Common Stock
AGAE,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGCC,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGCO,NYSE,EQUITY,1,0,0,0,Common Stock
AGEN,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGH,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGI,NYSE,EQUITY,1,0,0,0,Common Stock
AGIO,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGL,NYSE,EQUITY,1,0,0,0,Common Stock
AGM,NYSE,EQUITY,1,0,0,0,Common Stock
AGM-A,NYSE,EQUITY,1,0,0,0,Common Stock
AGMH,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGNC,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGNCM,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGO,NYSE,EQUITY,1,0,0,0,Common Stock
AGPU,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGRO,NYSE,EQUITY,1,0,0,0,Common Stock
AGRZ,NASDAQ,EQUITY,1,0,0,0,Common Stock
AGX,NYSE,EQUITY,1,0,0,0,Common Stock
AGYS,NASDAQ,EQUITY,1,0,0,0,Common Stock
AHCO,NASDAQ,EQUITY,1,0,0,0,Common Stock
AHG,NASDAQ,EQUITY,1,0,0,0,Common Stock
AHH,NYSE,EQUITY,1,0,0,0,Common Stock
AHL,NYSE,EQUITY,1,0,0,0,Common Stock
AHMA,NASDAQ,EQUITY,1,0,0,0,Common Stock
AHR,NYSE,EQUITY,1,0,0,0,Common Stock
AHT,NYSE,EQUITY,1,0,0,0,Common Stock
AI,NYSE,EQUITY,1,0,0,0,Common Stock
AIFF,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIFU,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIG,NYSE,EQUITY,1,0,0,0,Common Stock
AIHS,NASDAQ,EQUITY,1,0,0,0,Common Stock
AII,NYSE,EQUITY,1,0,0,0,Common Stock
AIIA,NYSE,EQUITY,1,0,0,0,Common Stock
AIIO,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIMD,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIN,NYSE,EQUITY,1,0,0,0,Common Stock
AIOS,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIOT,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIP,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIR,NYSE,EQUITY,1,0,0,0,Common Stock
AIRE,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIRG,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIRJ,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIRO,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIRS,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIRT,NASDAQ,EQUITY,1,0,0,0,Common Stock
AISP,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIT,NYSE,EQUITY,1,0,0,0,Common Stock
AIV,NYSE,EQUITY,1,0,0,0,Common Stock
AIXC,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIXI,NASDAQ,EQUITY,1,0,0,0,Common Stock
AIZ,NYSE,EQUITY,1,0,0,0,Common Stock
AJG,NYSE,EQUITY,1,0,0,0,Common Stock
AKA,NYSE,EQUITY,1,0,0,0,Common Stock
AKAM,NASDAQ,EQUITY,1,0,0,0,Common Stock
AKAN,NASDAQ,EQUITY,1,0,0,0,Common Stock
AKBA,NASDAQ,EQUITY,1,0,0,0,Common Stock
AKO-A,NYSE,EQUITY,1,0,0,0,Common Stock
AKO-B,NYSE,EQUITY,1,0,0,0,Common Stock
AKR,NYSE,EQUITY,1,0,0,0,Common Stock
AKTX,NASDAQ,EQUITY,1,0,0,0,Common Stock
AL,NYSE,EQUITY,1,0,0,0,Common Stock
ALAB,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALAR,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALB,NYSE,EQUITY,1,0,0,0,Common Stock
ALBT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALC,NYSE,EQUITY,1,0,0,0,Common Stock
ALCO,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALCY,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALDF,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALDX,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALEC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALEX,NYSE,EQUITY,1,0,0,0,Common Stock
ALF,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALG,NYSE,EQUITY,1,0,0,0,Common Stock
ALGM,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALGN,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALGS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALGT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALH,NYSE,EQUITY,1,0,0,0,Common Stock
ALHC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALIS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALIT,NYSE,EQUITY,1,0,0,0,Common Stock
ALK,NYSE,EQUITY,1,0,0,0,Common Stock
ALKS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALKT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALL,NYSE,EQUITY,1,0,0,0,Common Stock
ALLE,NYSE,EQUITY,1,0,0,0,Common Stock
ALLO,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALLR,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALLT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALLY,NYSE,EQUITY,1,0,0,0,Common Stock
ALM,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALMS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALMU,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALNT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALNY,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALOT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALPS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALRM,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALRS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALSN,NYSE,EQUITY,1,0,0,0,Common Stock
ALT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALTG,NYSE,EQUITY,1,0,0,0,Common Stock
ALTI,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALTO,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALTS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALUR,NYSE,EQUITY,1,0,0,0,Common Stock
ALV,NYSE,EQUITY,1,0,0,0,Common Stock
ALVO,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALX,NYSE,EQUITY,1,0,0,0,Common Stock
ALXO,NASDAQ,EQUITY,1,0,0,0,Common Stock
ALZN,NASDAQ,EQUITY,1,0,0,0,Common Stock
AM,NYSE,EQUITY,1,0,0,0,Common Stock
AMAL,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMAT,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMBA,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMBP,NYSE,EQUITY,1,0,0,0,Common Stock
AMBQ,NYSE,EQUITY,1,0,0,0,Common Stock
AMBR,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMC,NYSE,EQUITY,1,0,0,0,Common Stock
AMCI,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMCR,NYSE,EQUITY,1,0,0,0,Common Stock
AMCX,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMD,NASDAQ,EQUITY,1,0,0,0,Common Stock
AME,NYSE,EQUITY,1,0,0,0,Common Stock
AMG,NYSE,EQUITY,1,0,0,0,Common Stock
AMGN,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMH,NYSE,EQUITY,1,0,0,0,Common Stock
AMIX,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMKR,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMLX,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMN,NYSE,EQUITY,1,0,0,0,Common Stock
AMOD,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMP,NYSE,EQUITY,1,0,0,0,Common Stock
AMPG,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMPH,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMPL,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMPX,NYSE,EQUITY,1,0,0,0,Common Stock
AMPY,NYSE,EQUITY,1,0,0,0,Common Stock
AMR,NYSE,EQUITY,1,0,0,0,Common Stock
AMRC,NYSE,EQUITY,1,0,0,0,Common Stock
AMRN,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMRX,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMSC,NASDAQ,EQUITY,1,0,0,0,Common Stock
AMSF,NASDAQ,EQUITY,1,0,0,0,Common Stock
